Size,Merge,Combine_Th5,Combine_Th10,Combine_Th20,Combine_Th30,Combine_Th50
52100,87,41,30,24,26,25
52200,87,42,30,24,24,24
52300,88,41,30,25,24,24
52400,87,41,30,24,24,24
52500,88,41,30,24,24,24
52600,88,41,31,24,24,24
52700,89,43,30,25,24,24
52800,88,42,30,25,24,24
52900,88,42,30,25,24,25
53000,89,42,30,25,24,24
53100,88,42,30,25,24,24
53200,89,42,30,25,24,24
53300,89,42,30,25,25,25
53400,89,42,30,25,25,25
53500,89,42,30,25,25,25
53600,89,42,31,25,25,25
53700,89,42,30,25,25,25
53800,90,42,31,25,25,25
53900,90,42,31,25,25,25
54000,90,42,31,25,25,25
54100,90,42,31,25,25,25
54200,90,42,31,25,25,25
54300,91,43,31,25,25,25
54400,91,42,31,25,25,25
54500,91,42,31,25,25,25
54600,91,43,31,26,25,25
54700,91,42,31,25,25,25
54800,91,42,31,25,25,25
54900,93,43,31,26,25,26
55000,92,43,31,25,26,26
55100,92,42,31,26,26,26
55200,92,43,31,26,26,26
55300,93,43,31,26,26,26
55400,92,43,31,26,26,26
55500,93,43,32,26,26,26
55600,93,43,31,26,26,26
55700,93,43,31,26,26,26
55800,93,43,31,26,26,26
55900,93,43,32,26,26,26
56000,94,43,31,26,26,26
56100,94,43,32,26,26,26
56200,94,43,31,26,26,26
56300,94,43,32,26,26,26
56400,94,43,32,26,26,26
56500,95,43,32,26,26,27
56600,95,44,32,28,31,27
56700,96,43,32,27,27,27
56800,96,44,32,26,27,27
56900,95,43,32,27,28,27
57000,95,44,33,26,27,27
57100,96,44,32,27,27,27
57200,97,44,32,27,27,28
57300,97,44,32,27,27,27
57400,97,44,32,27,27,27
57500,96,44,32,27,27,27
57600,96,44,32,27,27,27
57700,96,44,32,27,28,27
57800,97,44,33,27,27,27
57900,97,44,32,27,27,27
58000,97,44,32,27,27,27
58100,97,44,32,27,27,27
58200,97,44,32,27,27,28
58300,97,44,32,27,28,28
58400,97,44,32,27,28,28
58500,98,44,32,27,28,28
58600,98,44,32,27,28,28
58700,98,44,33,27,28,28
58800,98,44,33,27,30,28
58900,98,45,33,27,28,28
59000,99,44,33,27,29,28
59100,99,45,33,27,29,28
59200,99,44,33,28,29,28
59300,100,44,33,27,29,28
59400,100,44,33,27,29,28
59500,100,44,34,27,29,28
59600,100,44,33,28,28,28
59700,100,44,33,28,29,28
59800,100,44,33,28,29,28
59900,100,45,33,28,29,29
60000,100,44,33,28,29,29
60100,101,45,33,28,29,29
60200,101,45,33,28,29,29
60300,101,45,33,28,29,29
60400,101,45,33,28,29,29
60500,101,45,33,28,30,30
60600,104,45,33,28,29,29
60700,101,45,33,28,29,29
60800,102,45,34,28,29,29
60900,102,45,33,28,29,29
61000,102,45,33,28,29,29
61100,102,45,33,28,29,29
61200,102,45,33,28,29,29
61300,103,45,34,28,30,29
61400,103,45,34,28,29,30
61500,103,45,34,28,30,30
61600,103,45,34,28,30,30
61700,103,45,34,28,30,30
61800,103,45,34,28,30,30
61900,104,45,36,29,29,30
62000,104,45,34,29,29,30
62100,104,46,34,29,29,30
62200,104,46,34,29,29,30
62300,104,46,34,29,30,30
62400,104,46,34,29,29,30
62500,105,46,34,29,29,30
62600,105,46,34,29,29,30
62700,109,46,34,29,29,30
62800,105,46,34,30,29,30
62900,105,46,34,29,29,30
63000,105,46,34,29,29,30
63100,106,46,34,29,29,31
63200,106,46,34,29,29,31
63300,106,46,34,29,29,31
63400,106,46,34,29,29,31
63500,106,46,34,29,29,31
63600,107,46,34,29,33,31
63700,107,46,35,29,29,31
63800,107,46,35,29,29,31
63900,107,46,35,29,29,31
64000,107,46,35,30,30,31
64100,108,46,35,30,30,31
64200,108,47,35,30,30,31
64300,108,46,35,30,30,32
64400,108,46,35,30,30,31
64500,108,52,35,30,30,32
64600,108,47,35,30,30,32
64700,109,47,35,30,30,32
64800,109,47,35,30,30,32
64900,109,47,35,30,30,32
65000,109,47,35,30,30,32
65100,109,47,35,30,30,32
65200,109,47,35,30,30,32
65300,109,47,35,30,30,32
65400,109,47,35,30,30,32
65500,110,47,35,30,30,32
65600,110,47,35,30,30,32
65700,110,47,35,30,30,32
65800,110,47,35,30,30,32
65900,110,47,35,30,33,33
66000,111,47,35,31,30,33
66100,111,47,35,30,30,33
66200,114,49,37,36,31,35
66300,122,48,37,32,32,34
66400,115,50,38,34,32,34
66500,115,49,37,32,32,34
66600,117,49,37,31,33,33
66700,114,48,36,31,31,33
66800,112,47,36,31,31,33
66900,112,47,36,31,31,33
67000,113,48,36,31,31,33
67100,113,48,37,31,31,33
67200,113,48,36,31,31,33
67300,115,48,36,31,31,33
67400,113,49,36,31,31,34
67500,114,48,37,31,31,33
