Size,Merge,Combine_Th5,Combine_Th10,Combine_Th20,Combine_Th30,Combine_Th50
70400,119,50,38,31,31,26
70500,120,50,37,30,31,26
70600,120,50,37,31,31,26
70700,120,50,37,30,31,26
70800,120,50,38,31,31,26
70900,120,50,38,31,31,26
71000,120,50,38,31,31,26
71100,121,50,38,31,31,26
71200,121,50,38,31,31,26
71300,122,50,38,31,31,27
71400,121,50,38,31,31,26
71500,122,50,38,31,31,26
71600,123,51,38,31,31,27
71700,122,50,38,31,31,26
71800,122,50,39,31,31,26
71900,123,51,38,31,31,27
72000,124,51,38,31,31,27
72100,123,50,38,31,31,29
72200,122,50,38,31,31,27
72300,122,50,38,31,31,27
72400,123,51,38,31,31,27
72500,123,50,38,31,31,27
72600,124,50,38,31,31,27
72700,123,50,38,31,31,27
72800,124,51,38,31,31,27
72900,124,51,38,31,31,27
73000,124,51,38,31,31,27
73100,125,51,38,31,31,28
73200,124,51,38,31,31,27
73300,125,51,38,31,31,27
73400,125,51,38,31,31,27
73500,125,51,39,31,31,27
73600,125,51,39,32,31,27
73700,125,51,39,31,31,27
73800,125,51,39,32,32,27
73900,125,51,39,32,32,27
74000,126,51,39,32,32,29
74100,139,52,42,32,32,27
74200,126,51,39,32,32,28
74300,126,51,39,32,32,28
74400,128,51,39,32,32,27
74500,126,51,39,32,32,28
74600,127,52,39,32,32,28
74700,127,51,39,32,32,28
74800,127,51,39,32,32,28
74900,127,52,39,32,32,28
75000,128,52,39,32,32,28
75100,128,52,39,32,32,28
75200,128,52,39,32,32,28
75300,128,52,39,32,32,28
75400,128,52,39,33,32,28
75500,128,52,39,33,32,28
75600,128,52,39,32,32,28
75700,128,52,40,33,32,28
75800,135,52,40,33,32,28
75900,129,52,40,33,33,29
76000,130,53,40,33,32,28
76100,130,52,40,33,33,28
76200,131,53,40,33,33,28
76300,131,53,40,33,33,28
76400,132,53,40,33,33,28
76500,132,53,40,33,33,28
76600,130,52,40,33,33,28
76700,130,52,40,33,33,28
76800,130,52,40,33,33,28
76900,131,56,40,33,33,28
77000,131,52,40,33,33,28
77100,131,52,40,33,33,28
77200,131,52,40,33,33,28
77300,131,53,40,33,33,28
77400,132,53,40,33,33,28
77500,132,53,40,33,33,28
77600,132,53,40,33,33,29
77700,132,53,41,33,33,30
77800,133,53,41,33,33,29
77900,133,53,40,33,33,29
78000,133,53,40,34,33,29
78100,133,53,40,33,33,29
78200,133,53,40,33,33,29
78300,133,53,41,33,34,29
78400,133,53,41,33,33,29
78500,133,53,41,33,33,29
78600,133,53,41,34,33,29
78700,134,53,41,33,33,29
78800,134,53,41,33,34,29
78900,134,53,41,33,33,29
79000,134,53,41,33,34,29
79100,134,53,41,34,34,29
79200,135,53,41,34,34,29
79300,135,53,41,34,34,29
79400,135,53,41,34,34,29
79500,135,53,41,34,34,29
79600,135,53,41,34,34,29
79700,135,53,41,34,34,29
79800,136,54,44,34,34,29
79900,135,53,41,34,34,30
80000,136,54,41,34,34,29
80100,136,54,41,34,34,29
80200,136,54,41,34,34,29
80300,137,54,41,35,34,29
80400,136,54,41,34,34,29
80500,137,54,41,34,42,30
80600,137,54,41,34,34,30
80700,137,54,41,34,34,29
80800,137,54,41,34,34,29
80900,137,54,41,34,34,29
81000,137,54,41,34,34,30
81100,138,54,41,34,34,30
81200,138,54,42,34,34,30
81300,138,54,42,34,34,30
81400,138,54,42,34,35,30
81500,138,54,42,34,34,30
81600,139,54,42,34,34,30
81700,139,54,42,34,34,30
81800,139,54,42,34,34,30
81900,139,54,42,34,34,30
82000,139,54,42,35,34,30
82100,139,55,42,35,35,30
82200,140,55,42,35,35,30
82300,140,55,43,35,35,30
82400,140,55,43,36,35,30
82500,140,55,43,36,35,30
82600,141,56,43,37,35,34
82700,142,56,44,36,35,30
82800,140,56,44,36,35,30
82900,141,56,44,37,35,30
